PRN,X (m),X_sp3 (m),X_error (m),Y (m),Y_sp3 (m),Y_error (m),Z (m),Z_sp3 (m),Z_error (m)
2,-13921125.99,-13921312.6,186.601053,10520857.44,10520761.48,95.962908,20752899.94,20752821.24,78.700494
3,-12326720.73,-12326751.32,30.589669,15206586.33,15206397.99,188.338821,17758732.27,17758875.35,143.07915
8,19783013.6,19782854.27,159.327423,3244987.165,3245082.489,95.323576,17378752.71,17378913.54,160.830798
10,16224624.83,16224803.88,179.048946,-6015374.987,-6015262.066,112.92131,20186079.08,20185971.41,107.66977
13,7552201.472,7552188.114,13.358331,22602195.7,22602321.03,125.335393,11771817.08,11771590.05,227.033905
17,16522601.79,16522731.43,129.63897,-16233813.58,-16233846.55,32.977304,12453407.32,12453184.03,223.290159
21,-11894221.98,-11894023.02,198.957181,-10766055.41,-10766162.2,106.790043,21172792.76,21172848.85,56.082455
24,23421962.77,23421977.86,15.090747,-12587454.9,-12587441.51,13.391122,999742.3834,999472.31,270.07339
26,8280837.255,8280855.184,17.929246,-21834335.53,-21834204.35,131.177924,11796581.03,11796812.57,231.540541
27,9544662.436,9544474.137,188.29944,12516483.25,12516604.25,120.999488,21878717.2,21878727.4,10.191466
28,23778312.65,23778331.47,18.820877,11792189.99,11792225.25,35.256054,-2950541.777,-2950281.325,260.452395
29,11084173.93,11084189.97,16.041136,-17544464.83,-17544287.6,177.235653,16816648.85,16816826.25,177.398079